,title,brand,description,price/currency,price/value,stars,reviewsCount,text,tokens,sentiment_score,Sentiments_labels,stars_category
0,"65W Universal USB C Chromebook Charger,Replacement Lenovo Yoga Google Asus Acer Dell Laptop Charger,AC Adapter Compatible with Lenovo X1 Thinkpad 45W Type C Charger",NELEBUTO,,$,13.69,4.2,55.0,"65W Universal USB C Chromebook Charger,Replacement Lenovo Yoga Google Asus Acer Dell Laptop Charger,AC Adapter Compatible with Lenovo X1 Thinkpad 45W Type C Charger ","['dell', 'chromebook', 'thinkpad', 'charger', '45w', 'universal', 'usb', 'x1', 'lenovo', 'c', 'compatible', 'laptop', 'type', 'adapter', 'replacement', 'asus', 'acer', 'ac', '65w', 'yoga', 'google']",0.0,Neutral,High Review
1,"EMPSIGN Laptop Tote bag for women 16 Inch, Stylish Computer Shoulder Tote Bag for Work, Large Capacity Quilted Laptop Briefcase, Waterproof Women Business Office Bag, Quilted Black",EMPSIGN,,$,31.99,4.9,58.0,"EMPSIGN Laptop Tote bag for women 16 Inch, Stylish Computer Shoulder Tote Bag for Work, Large Capacity Quilted Laptop Briefcase, Waterproof Women Business Office Bag, Quilted Black ","['empsign', 'woman', 'work', '16', 'quilted', 'waterproof', 'stylish', 'bag', 'inch', 'briefcase', 'office', 'black', 'business', 'laptop', 'shoulder', 'capacity', 'tote', 'large', 'computer']",0.18253968253968256,Positive,High Review
2,"100Pcs Mario Stickers, Cartoon Game Mario Stickers for Kids, Mario Bros Decal Gifts, Waterproof Vinyl Stickers for Teen Adut Water Bottle, Laptop, Skateboard",MOQIAN,"100Pcs Japanese Cartoon Game Mari Stickers for Adult Girl Boy Notebook, Computer, Luggage, Phone, Scrapbook, Guitar, Bike, Car, Helmet, Snowboard, Bumper, Cup.",$,5.99,4.6,42.0,"100Pcs Mario Stickers, Cartoon Game Mario Stickers for Kids, Mario Bros Decal Gifts, Waterproof Vinyl Stickers for Teen Adut Water Bottle, Laptop, Skateboard 100Pcs Japanese Cartoon Game Mari Stickers for Adult Girl Boy Notebook, Computer, Luggage, Phone, Scrapbook, Guitar, Bike, Car, Helmet, Snowboard, Bumper, Cup.","['snowboard', 'water', 'cup', 'game', 'bike', 'mario', 'adut', 'decal', 'notebook', 'waterproof', 'kid', 'car', 'teen', '100pcs', 'helmet', 'bumper', 'japanese', 'gift', 'bottle', 'guitar', 'adult', 'boy', 'laptop', 'vinyl', 'luggage', 'bros', 'scrapbook', 'sticker', 'cartoon', 'skateboard', 'girl', 'mari', 'phone', 'computer']",-0.07500000000000001,Negative,High Review
3,"USB Docking Station, JESWO USB 3.0 Laptop Docking Station Dual Monitor (Dual Video HDMI & VGA, Gigabit Ethernet, Audio, and More USB Ports)-Grey",JESWO,,$,79.99,4.2,39.0,"USB Docking Station, JESWO USB 3.0 Laptop Docking Station Dual Monitor (Dual Video HDMI & VGA, Gigabit Ethernet, Audio, and More USB Ports)-Grey ","['dual', '-grey', 'jeswo', 'vga', 'laptop', 'gigabit', 'audio', 'monitor', 'station', 'docking', 'usb', 'video', 'hdmi', 'port', 'ethernet', '3.0']",-0.05,Negative,High Review
4,ANCBD C31N1824 Battery for Asus Chromebook Flip C434 C434TA Series C434TA-AI0029 C434TA-AI0045 C434TA-AI0081 C434TA-DH342T C434TA-E10001 0B200-03290000 3ICP3/91/91 C31PnC1 11.55V 48Wh/4160mAh,ANCBD,"Specification: Battery Rating: 11.55V Battery Capacity:48Wh/4160mAh Battery Type: Li-Polymer battery Condition: new battery Battery Color: Black Warranty: 12 Months Compatible Part Numbers: C31N1824 0B200-03290000 3ICP3/91/91 C31PnC1. Compatible Machine Models: For ASUS Chromebook Flip C434 Series: For ASUS Chromebook Flip C434TA Series: C434, C434TA, C434TA-1A C434TA-AI0029, C434TA-AI0030, C434TA-AI0033, C434TA-AI0040, C434TA-AI0041, C434TA-AI0043, C434TA-AI0043P C434TA-AI0045, C434TA-AI0051, C434TA-AI0060, C434TA-AI0062, C434TA-AI0063, C434TA-AI0064, C434TA-AI0080 C434TA-AI0081, C434TA-AI0084, C434TA-AI0089, C434TA-AI0094, C434TA-AI0095 C434TA-AI0107, C434TA-AI0108, C434TA-AI0109, C434TA-AI0110, C434TA-AI0115, C434TA-AI0121, C434TA-AI0122 C434TA-AI0207, C434TA-AI0225, C434TA-AI0234, C434TA-AI0259, C434TA-AI0264, C434TA-AI0276, C434TA-AI0278, C434TA-AI0296 C434TA-AI0303, C434TA-AI0304, C434TA-AI0362, C434TA-AI0364, C434TA-AI0390, C434TA-AI0394, C434TA-AI3860 C434TA-AI0403, C434TA-AI0476, C434TA-AI0477, C434TA-AI0485, C434TA-AI049, C434TA-AI0499 C434TA-AI0543, C434TA-AI0544,C434TA-AIZ030, C434TA-AIZ032 C434TA-DH342T, C434TA-DS384, C434TA-DS384T, C434TA-DS584, C434TA-DS588T, C434TA-DSM4T C434TA-E10001, C434TA-E10008, C434TA-E10011, C434TA-E10012, C434TA-E10013, C434TA-E10022 C434TA-GE384T, C434TA-GE588T, C434TA-I5-VEOUK, C434TA-M3-VEOUK, C434TA-YZ588T Compatible Part Numbers: BP3S1P2160, BP3S1P2160-S, BP3S1P2290, BP3S1P2290 A, GBM3X2 242857100001, 242888700087, 441857100001, 441888700086, 2ICP7/64/84, 3ICP6/51/61. Compatible Machine Models: Fit for Getac F110 Tablet PC Series: Getac F110 Getac F110 G2 Getac F110 G3 Getac F110 G4 F110, F110 G2 F110 GGA 734020 F110 G2-Core i5 5300U 2 3 GHZ",$,46.99,3.84,1145.8,"ANCBD C31N1824 Battery for Asus Chromebook Flip C434 C434TA Series C434TA-AI0029 C434TA-AI0045 C434TA-AI0081 C434TA-DH342T C434TA-E10001 0B200-03290000 3ICP3/91/91 C31PnC1 11.55V 48Wh/4160mAh Specification: Battery Rating: 11.55V Battery Capacity:48Wh/4160mAh Battery Type: Li-Polymer battery Condition: new battery Battery Color: Black Warranty: 12 Months Compatible Part Numbers: C31N1824 0B200-03290000 3ICP3/91/91 C31PnC1. Compatible Machine Models: For ASUS Chromebook Flip C434 Series: For ASUS Chromebook Flip C434TA Series: C434, C434TA, C434TA-1A C434TA-AI0029, C434TA-AI0030, C434TA-AI0033, C434TA-AI0040, C434TA-AI0041, C434TA-AI0043, C434TA-AI0043P C434TA-AI0045, C434TA-AI0051, C434TA-AI0060, C434TA-AI0062, C434TA-AI0063, C434TA-AI0064, C434TA-AI0080 C434TA-AI0081, C434TA-AI0084, C434TA-AI0089, C434TA-AI0094, C434TA-AI0095 C434TA-AI0107, C434TA-AI0108, C434TA-AI0109, C434TA-AI0110, C434TA-AI0115, C434TA-AI0121, C434TA-AI0122 C434TA-AI0207, C434TA-AI0225, C434TA-AI0234, C434TA-AI0259, C434TA-AI0264, C434TA-AI0276, C434TA-AI0278, C434TA-AI0296 C434TA-AI0303, C434TA-AI0304, C434TA-AI0362, C434TA-AI0364, C434TA-AI0390, C434TA-AI0394, C434TA-AI3860 C434TA-AI0403, C434TA-AI0476, C434TA-AI0477, C434TA-AI0485, C434TA-AI049, C434TA-AI0499 C434TA-AI0543, C434TA-AI0544,C434TA-AIZ030, C434TA-AIZ032 C434TA-DH342T, C434TA-DS384, C434TA-DS384T, C434TA-DS584, C434TA-DS588T, C434TA-DSM4T C434TA-E10001, C434TA-E10008, C434TA-E10011, C434TA-E10012, C434TA-E10013, C434TA-E10022 C434TA-GE384T, C434TA-GE588T, C434TA-I5-VEOUK, C434TA-M3-VEOUK, C434TA-YZ588T Compatible Part Numbers: BP3S1P2160, BP3S1P2160-S, BP3S1P2290, BP3S1P2290 A, GBM3X2 242857100001, 242888700087, 441857100001, 441888700086, 2ICP7/64/84, 3ICP6/51/61. Compatible Machine Models: Fit for Getac F110 Tablet PC Series: Getac F110 Getac F110 G2 Getac F110 G3 Getac F110 G4 F110, F110 G2 F110 GGA 734020 F110 G2-Core i5 5300U 2 3 GHZ","['rating', 'c434ta-ai0043p', 'c434ta-ai0051', 'g4', '48wh/4160mah', '441857100001', 'fit', 'series', 'c434ta-e10013', 'c434ta-ai0122', 'battery', 'c434ta-e10012', 'c434ta-ai0304', 'c434ta-m3-veouk', 'gga', 'c434ta-ai0544', 'getac', 'c434ta-ai0296', 'bp3s1p2160-s', 'c434ta-e10022', 'warranty', 'new', 'bp3s1p2290', 'c434ta-ai0207', 'c434ta-ai0062', '3', 'c434ta-ai0060', 'c434ta-ai3860', 'condition', 'gbm3x2', '242857100001', 'c434ta-ai0476', '0b200-03290000', 'machine', '5300u', 'color', 'c434ta-ai0109', 'c434ta-ai0276', 'month', 'c434ta-ds384', 'c434ta-ai0394', 'number', '3icp3/91/91', 'c434ta-ai0064', 'black', 'compatible', 'c434ta-ai0063', 'f110', '242888700087', 'c434ta-ai0225', 'c434ta-ai0094', 'bp3s1p2160', '734020', 'c434ta-ge384t', 'c434ta-ai0081', 'c434ta-1a', 'c434ta-ai0107', 'c434ta-ai0115', '441888700086', 'c434ta-dh342t', 'c434ta-i5-veouk', '2', 'flip', 'c434', 'c434ta-ai0041', 'c31pnc1', 'g2-core', 'c434ta-ai0543', 'part', 'c434ta-ai0043', 'c434ta-ai0110', 'c434ta-ai0477', 'c434ta-ai0084', 'pc', 'g3', 'ancbd', '12', 'c434ta-ai0499', 'c434ta-ai0403', 'c434ta-ds384t', 'c434ta-ai0485', 'c434ta-ai0030', 'c434ta-e10001', 'c434ta-ds584', 'c434ta-e10011', 'ghz', 'tablet', 'c434ta-ai0121', 'c434ta-ai0264', 'asus', 'c434ta', 'capacity:48wh/4160mah', 'i5', 'c434ta-ai0108', 'li-polymer', 'c434ta-aiz032', 'c434ta-ai0080', 'c434ta-ai0259', 'c434ta-ds588t', 'c434ta-ai0362', 'c434ta-ai0040', '11.55v', 'c434ta-ai0095', 'chromebook', 'c434ta-ai0029', 'model', 'c434ta-dsm4t', 'c434ta-e10008', 'c434ta-ai0089', 'c434ta-ai0390', 'c434ta-ge588t', 'c434ta-ai0033', 'c31n1824', 'c434ta-ai049', 'c434ta-ai0045', 'c434ta-ai0364', 'c434ta-yz588t', 'type', 'c434ta-ai0278', 'g2', 'specification', 'c434ta-ai0303', 'c434ta-ai0234', '3icp6/51/61', 'c434ta-aiz030', '2icp7/64/84']",0.12323232323232325,Positive,Average Review
5,New 20V 14A 280W USB Charger Replacement fit for MSI GE66 GE76 Raider GP76 GP66 Leopard WE76 WE76-11UX Stealth GS77 GT76 Clevo X170SM-G X170KM-G ADP-280BB B A18-280P1A S93-0409330-C54,QEYNIU,,$,98.99,4.499999999999999,1718.8,New 20V 14A 280W USB Charger Replacement fit for MSI GE66 GE76 Raider GP76 GP66 Leopard WE76 WE76-11UX Stealth GS77 GT76 Clevo X170SM-G X170KM-G ADP-280BB B A18-280P1A S93-0409330-C54 ,"['clevo', 'x170km-g', 'x170sm-g', '280w', 'fit', 'charger', 'gp66', 'adp-280bb', 'we76-11ux', 'ge76', 'usb', 'gt76', 'gp76', 'ge66', 'gs77', '14a', 'leopard', 'b', 'new', 'a18-280p1a', 'replacement', 'msi', 'we76', 's93-0409330-c54', 'raider', '20v', 'stealth']",0.2681818181818182,Positive,High Review
6,"Litwaro Desk Side Storage Organizer, Under Desk Laptop Holder Clamp on Desk Shelf, No Drill Laptop Desk Mount with Magnetic Pen Holder, Hanging Desk Organizer Fits Flat Edge Desk 0.4"" to 2""",Litwaro,,$,32.99,4.6,31.0,"Litwaro Desk Side Storage Organizer, Under Desk Laptop Holder Clamp on Desk Shelf, No Drill Laptop Desk Mount with Magnetic Pen Holder, Hanging Desk Organizer Fits Flat Edge Desk 0.4"" to 2"" ","['hanging', 'edge', 'holder', ""''"", 'fit', 'storage', 'side', 'litwaro', 'desk', 'pen', 'laptop', 'clamp', 'shelf', 'organizer', '0.4', 'mount', 'magnetic', '2', 'drill', 'flat']",0.1875,Positive,High Review
7,"50PCS Singer Stickers for Adults, Waterproof Vinyl Decal Stickers for Water Bottle, Laptop, Skateboard,Funny Music Decorations Stickers for Kids,Teens,Girls,",JSYAVG,"Quantity: 50Pcs/pack.Non-duplicateMaterial: Sun Protection and Waterproof PVCSize :2-3.5inchFeatures:Good stickiness and can be reused.Anti-wrinkling,safe and non-toxic.Sun protection,waterproof and durable!Easy to remove and do not leave a residue.100% new with high-definition printing clear and color balanced.Every sticker is different.No repeats.All as shown in picture!Perfect for kids to DIY their personal belongings such as waterbottle laptop or Skateboard ,Bikes ,etcHow to use:Clean the surface and keep it have no water, then stick on wherever you like.Do you want to have a different state yourself? Come and have these inspirational stickers and meet a different you!",$,5.99,5.0,1.0,"50PCS Singer Stickers for Adults, Waterproof Vinyl Decal Stickers for Water Bottle, Laptop, Skateboard,Funny Music Decorations Stickers for Kids,Teens,Girls, Quantity: 50Pcs/pack.Non-duplicateMaterial: Sun Protection and Waterproof PVCSize :2-3.5inchFeatures:Good stickiness and can be reused.Anti-wrinkling,safe and non-toxic.Sun protection,waterproof and durable!Easy to remove and do not leave a residue.100% new with high-definition printing clear and color balanced.Every sticker is different.No repeats.All as shown in picture!Perfect for kids to DIY their personal belongings such as waterbottle laptop or Skateboard ,Bikes ,etcHow to use:Clean the surface and keep it have no water, then stick on wherever you like.Do you want to have a different state yourself? Come and have these inspirational stickers and meet a different you!","['singer', 'clear', 'protection', 'water', 'surface', 'want', 'use', 'picture', 'easy', 'non-toxic.sun', 'bike', 'decal', 'stick', 'music', 'kid', 'waterproof', 'teen', 'safe', 'color', 'etchow', 'quantity', 'repeats.all', 'shown', 'inspirational', 'diy', 'sun', 'personal', 'bottle', 'pvcsize', 'good', 'residue.100', 'wherever', 'adult', 'meet', 'funny', '50pcs/pack.non-duplicatematerial', 'different.no', 'decoration', 'laptop', 'vinyl', 'perfect', 'come', 'belonging', 'different', 'remove', 'new', 'sticker', 'durable', 'stickiness', 'skateboard', 'leave', '50pcs', ':2-3.5inchfeatures', 'balanced.every', 'state', 'girl', 'high-definition', 'like.do', 'printing', 'clean', 'waterbottle', 'keep', 'reused.anti-wrinkling']",0.3143356643356643,Positive,High Review
8,"100 Pieces Cute Dog Stickers Puppy Decals Waterproof Vinyl Gifts for Laptop, Water Bottle,Phone, Luggage, Teens Adults Kids Boys Girls Birthday Party Supplies Decoration",ROTY,"Package Include:100pcs Stickers  Performance: Sun-proof and Waterproof  Surprise Gifts:Great gifts for your kids, friends, lovers, and family on Christmas, children's day, Easter, Valentine's day, birthday, etc.  Personalized Decoration:These stickers pack can be used on electronic products such as Water Bottle, Laptop, Suitcase, Headset, Luggage, Helmet, Car, Bicycle, Fridge, Table, Phone Case, Cooler, Surfboard, computers, Swimming Ring, Lunch Boxes, Skateboard, Guitar, Binder, Scrapbooking, Diary, Desks, Walls, Window, Room and Furniture, etc.",$,7.99,4.5,15.0,"100 Pieces Cute Dog Stickers Puppy Decals Waterproof Vinyl Gifts for Laptop, Water Bottle,Phone, Luggage, Teens Adults Kids Boys Girls Birthday Party Supplies Decoration Package Include:100pcs Stickers  Performance: Sun-proof and Waterproof  Surprise Gifts:Great gifts for your kids, friends, lovers, and family on Christmas, children's day, Easter, Valentine's day, birthday, etc.  Personalized Decoration:These stickers pack can be used on electronic products such as Water Bottle, Laptop, Suitcase, Headset, Luggage, Helmet, Car, Bicycle, Fridge, Table, Phone Case, Cooler, Surfboard, computers, Swimming Ring, Lunch Boxes, Skateboard, Guitar, Binder, Scrapbooking, Diary, Desks, Walls, Window, Room and Furniture, etc.","['piece', 'party', 'headset', 'water', 'surprise', 'lover', 'valentine', 'decal', 'bicycle', 'swimming', 'scrapbooking', 'include:100pcs', 'day', 'easter', 'kid', 'waterproof', 'pack', 'teen', ""'s"", 'electronic', 'car', 'table', 'product', 'diary', 'child', 'performance', 'desk', 'helmet', 'wall', 'great', '100', 'dog', 'gift', 'bottle', 'guitar', 'cute', 'puppy', 'supply', 'christmas', 'cooler', 'room', 'adult', 'birthday', 'package', 'friend', 'boy', 'decoration', 'laptop', 'vinyl', 'family', 'personalized', 'luggage', 'used', 'box', 'window', 'etc', 'fridge', 'sticker', 'lunch', 'surfboard', 'sun-proof', 'ring', 'skateboard', 'binder', 'girl', 'furniture', 'case', 'suitcase', 'phone', 'computer']",0.35000000000000003,Positive,High Review
9,"200 PCS Water Bottle Stickers for Kids Teens, Vinyl Waterproof Cute Vsco Stickers, Laptop Phone Scooter Luggage Stickers Hydroflask Stickers for Kids Teen Girls",Lonisiv,,$,4.19,3.9,8.0,"200 PCS Water Bottle Stickers for Kids Teens, Vinyl Waterproof Cute Vsco Stickers, Laptop Phone Scooter Luggage Stickers Hydroflask Stickers for Kids Teen Girls ","['sticker', 'teen', 'water', 'laptop', 'vsco', 'vinyl', 'luggage', 'waterproof', 'girl', 'bottle', '200', 'cute', 'scooter', 'phone', 'hydroflask', 'kid', 'pc']",0.25,Positive,Average Review
